Algorithm,Size,InputType,Time(us)
BubbleSort,1000,Random,8122
BubbleSort,1000,Random,9999
BubbleSort,1000,Random,7049
BubbleSort,1000,Random,8540
BubbleSort,1000,Random,8008
BubbleSort,1000,Sorted,0
BubbleSort,1000,Sorted,0
BubbleSort,1000,Sorted,0
BubbleSort,1000,Sorted,0
BubbleSort,1000,Sorted,0
BubbleSort,1000,Reversed,12088
BubbleSort,1000,Reversed,11530
BubbleSort,1000,Reversed,10111
BubbleSort,1000,Reversed,10045
BubbleSort,1000,Reversed,11442
BubbleSort,10000,Random,731147
BubbleSort,10000,Random,740109
BubbleSort,10000,Random,746065
BubbleSort,10000,Random,748139
BubbleSort,10000,Random,739917
BubbleSort,10000,Sorted,0
BubbleSort,10000,Sorted,0
BubbleSort,10000,Sorted,1004
BubbleSort,10000,Sorted,0
BubbleSort,10000,Sorted,0
BubbleSort,10000,Reversed,1.08332e+006
BubbleSort,10000,Reversed,1.07627e+006
BubbleSort,10000,Reversed,1.05388e+006
BubbleSort,10000,Reversed,1.06794e+006
BubbleSort,10000,Reversed,1.05111e+006
InsertionSort,1000,Random,2016
InsertionSort,1000,Random,2030
InsertionSort,1000,Random,3000
InsertionSort,1000,Random,3001
InsertionSort,1000,Random,3039
InsertionSort,1000,Sorted,0
InsertionSort,1000,Sorted,0
InsertionSort,1000,Sorted,0
InsertionSort,1000,Sorted,0
InsertionSort,1000,Sorted,0
InsertionSort,1000,Reversed,5941
InsertionSort,1000,Reversed,7657
InsertionSort,1000,Reversed,6208
InsertionSort,1000,Reversed,6001
InsertionSort,1000,Reversed,6190
InsertionSort,10000,Random,274942
InsertionSort,10000,Random,273965
InsertionSort,10000,Random,278022
InsertionSort,10000,Random,288046
InsertionSort,10000,Random,272724
InsertionSort,10000,Sorted,0
InsertionSort,10000,Sorted,0
InsertionSort,10000,Sorted,0
InsertionSort,10000,Sorted,0
InsertionSort,10000,Sorted,0
InsertionSort,10000,Reversed,556806
InsertionSort,10000,Reversed,553713
